title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
Introducción a las ecuaciones diferenciales,9868,Self-paced on your time,Intermediate,Math,Español,Español,49.0,University,30-40h
Agile Mindset Introduction,0,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,Other,0-10h
Tropical coastal ecosystems,23031,Self-paced on your time,Introductory,Biology & Life Sciences,English,English,99.0,University,40-50h
Modern China’s Foundations: The Manchus and the Qing,47166,Self-paced on your time,Introductory,History,English,"English, 中文",139.0,University,30-40h
El método de ciencia de datos,0,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,Español,39.0,Other,30-40h
AWS Developer: Deploying on AWS,25244,Self-paced on your time,Advanced,Computer Science,English,English,149.0,Other,20-30h
Autonomous Mobile Robots,62362,Self-paced on your time,Intermediate,Computer Science,English,English,50.0,Other,80h+
Gestión por resultados para gobiernos subnacionales,65955,Self-paced on your time,Introductory,Business & Management,Español,Español,25.0,Other,30-40h
Introduction to Sociology,10412,Self-paced on your time,Introductory,Social Sciences,English,English,139.0,University,30-40h
Transformación digital en las empresas,0,Self-paced on your time,Introductory,Business & Management,Español,Español,49.0,University,30-40h
Desafios e oportunidades na economia digital,6913,Self-paced on your time,Introductory,Economics & Finance,Português,Português,25.0,Other,20-30h
"Cellular Solids Part 1: Structures, Properties and Engineering Applications",7186,Self-paced on your time,Advanced,Engineering,English,English,99.0,Institute,80h+
Introduction to Statistical Methods for Gene Mapping,15419,Self-paced on your time,Advanced,Data Analysis & Statistics,English,English,49.0,University,10-20h
Cómo vivir una vida saludable y activa,8990,Self-paced on your time,Introductory,Social Sciences,Español,Español,49.0,University,10-20h
Mandarin Chinese Level 3,8418,Self-paced on your time,Intermediate,Language,English,English,149.0,Other,40-50h
Databases: Advanced Topics in SQL,0,Self-paced on your time,Introductory,Computer Science,English,English,50.0,University,10-20h
Data for Effective Policy Making,13797,Self-paced on your time,Introductory,Math,English,English,25.0,Other,30-40h
C Programming: Using Linux Tools and Libraries,13912,Self-paced on your time,Intermediate,Computer Science,English,English,49.0,University,30-40h
Lernen objekt-orientierter Programmierung,10657,Instructor-led on a course schedule,Introductory,Computer Science,Deutsch,Deutsch,49.0,University,20-30h
Cybersecurity: The CISO's View,21507,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,20-30h
Fundamentals of Java EE Development,10129,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,Other,10-20h
"Instructional Design: Digital Media, New Tools and Technology",16419,Self-paced on your time,Intermediate,Education & Teacher Training,English,English,299.0,University,70-80h
Molecular Biology – Part 3: RNA Processing and Translation,16520,Self-paced on your time,Advanced,Biology & Life Sciences,English,"English, 中文",99.0,Institute,40-50h
Power and Responsibility: Doing Philosophy with Superheroes,8517,Self-paced on your time,Introductory,Art & Culture,English,English,49.0,Other,10-20h
Aprendizaje automático y ciencia de datos,13994,Self-paced on your time,Intermediate,Computer Science,Español,Español,50.0,University,20-30h
Sustainable Urban Freight Transport: A Global Perspective,7769,Self-paced on your time,Introductory,Engineering,English,English,50.0,University,20-30h
MathTrackX: Statistics,0,Self-paced on your time,Introductory,Math,English,English,79.0,University,10-20h
Técnicas Cuantitativas y Cualitativas para la Investigación,29885,Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,Español,65.0,University,10-20h
Strategic Applications of IT Project & Program Management,17914,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,20-30h
Advanced Bioconductor,26063,Self-paced on your time,Advanced,Data Analysis & Statistics,English,English,149.0,University,10-20h
What Every Provider Should Know: Clinical Fundamentals,0,Self-paced on your time,Introductory,Medicine,English,English,50.0,University,50-60h
Análisis e interpretación de información económica y financiera,5891,Self-paced on your time,Intermediate,Economics & Finance,Español,Español,49.0,University,30-40h
AWS IoT: Developing and Deploying an Internet of Things,8884,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,Other,10-20h
Measuring Sustainable Development,0,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,25.0,Other,10-20h
Embedded Systems - Shape The World: Multi-Threaded Interfacing,27814,Self-paced on your time,Intermediate,Computer Science,English,English,49.0,University,70-80h
Hong Kong Cinema through a Global Lens | 全球化下的香港电影,12458,Instructor-led on a course schedule,Introductory,Humanities,English,"English, 中文",50.0,University,30-40h
Image Processing and Analysis for Life Scientists,8621,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,199.0,Other,10-20h
La protección del menor,7654,Self-paced on your time,Introductory,Law,Español,Español,49.0,University,20-30h
Globalization: Past and Future,10127,Self-paced on your time,Introductory,History,English,"English, Русский",25.0,Other,10-20h
Star Trek: Inspiring Culture and Technology,6521,Self-paced on your time,Introductory,History,English,English,40.0,Other,10-20h
Qué funciona en educación: políticas educativas basadas en evidencia,15701,Self-paced on your time,Introductory,Education & Teacher Training,Español,Español,25.0,Other,30-40h
"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",0,Self-paced on your time,Introductory,Computer Science,English,English,99.0,Other,0-10h
Tools for Academic Engagement in Public Policy,5035,Self-paced on your time,Introductory,Communication,English,English,199.0,Institute,0-10h
Theory of Change for Development,10736,Self-paced on your time,Introductory,Social Sciences,English,English,199.0,University,20-30h
Monozukuri: Making Things,0,Self-paced on your time,Introductory,Engineering,English,English,49.0,Institute,0-10h
Drug Discovery & Medicinal Chemistry,0,Self-paced on your time,Intermediate,Medicine,English,English,99.0,University,30-40h
Digital Biomaterials,0,Self-paced on your time,Introductory,Medicine,English,English,149.0,University,10-20h
Natural Resources for Sustainable Development,9668,Self-paced on your time,Intermediate,Energy & Earth Sciences,English,"اللغة العربية, English, Español, Français, Русский",49.0,Other,60-70h
Omnichannel Strategy and Management,15860,Self-paced on your time,Intermediate,Business & Management,English,English,99.0,University,10-20h
General Overview of Cannabis and the Industry’s Outlook and Professions,5048,Self-paced on your time,Introductory,Environmental Studies,English,English,199.0,University,30-40h
Amazon SageMaker: Simplifying Machine Learning Application Development,11765,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,Other,10-20h
Formulación y nomenclatura de compuestos químicos,12748,Self-paced on your time,Introductory,Chemistry,Español,Español,49.0,University,20-30h
Introducción a la factura electrónica,5829,Self-paced on your time,Intermediate,Economics & Finance,Español,Español,49.9,Other,10-20h
Demand and Supply Analytics,23585,Instructor-led on a course schedule,Intermediate,Business & Management,English,English,249.0,University,80h+
Advanced Algorithmics and Graph Theory with Python,13502,Self-paced on your time,Intermediate,Computer Science,English,English,49.0,Other,10-20h
Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,0,Self-paced on your time,Intermediate,Architecture,English,English,59.0,Institute,20-30h
Diagramas UML estructurales para la Ingeniería del Software,5820,Self-paced on your time,Introductory,Computer Science,Español,Español,50.0,University,10-20h
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",6232,Self-paced on your time,Intermediate,Math,English,English,49.0,University,20-30h
Fundamentos de Mecánica para Ingeniería,14219,Self-paced on your time,Introductory,Physics,Español,Español,49.0,University,20-30h
