title,rating,reviews_count,type_ins
Mind Control: Managing Your Mental Health During COVID-19,4.818545697131421,1499,University
Introduction to International Criminal Law,4.835548172757475,602,University
"FinTech: Foundations, Payments, and Regulations",4.57037037037037,270,University
Greek and Roman Mythology,4.775743707093821,437,University
Politics and Economics of International Energy,4.720125786163522,318,Other
Continuous Delivery & DevOps,4.548523206751055,237,University
Teach English Now! Foundational Principles,4.91411501120239,2678,University
Business Model Innovation,4.734939759036145,83,Other
Introduction to User Experience Principles and Processes,4.7591623036649215,191,University
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.672413793103448,58,University
Process Mining: Data science in Action,4.68,200,University
Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.758620689655173,203,University
Introduction to Corporate Finance,4.437118437118437,819,University
Global Diplomacy: the United Nations in the World,4.679310344827586,290,University
Algorithmic Toolbox,4.535564853556485,1912,University
Troubles du spectre de l'autisme : diagnostic,4.872340425531915,94,University
Anatomy: Musculoskeletal and Integumentary Systems,4.808764940239044,251,University
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.619565217391305,92,University
English for Business and Entrepreneurship,4.877737226277373,1096,University
Natural Language Processing with Attention Models,3.2857142857142856,21,Other
What is Compliance?,4.798319327731092,119,University
Getting Started with Google Sheets,4.562162162162162,185,Other
Data Visualization with Python,4.045252883762201,1127,Other
Foundations of Mindfulness,4.82051282051282,39,University
Negociación exitosa: Estrategias y habilidades esenciales (en español),4.818181818181818,715,University
Data-driven Decision Making,4.5073995771670194,946,Other
Fundamentals of Engineering Exam Review,4.393939393939394,132,Institute
Gender and Sexuality: Diversity and Inclusion in the Workplace,4.650406504065041,123,University
Managerial Accounting Fundamentals,4.87012987012987,77,University
Search Engine Optimization Fundamentals,4.719745222929936,471,University
Essentials of Global Health,4.857651245551601,281,University
International Security Management,4.658227848101266,79,University
Getting Started with AWS Machine Learning,4.413344887348353,1154,Other
Arts and Heritage Management,4.793478260869565,184,University
Understanding Einstein: The Special Theory of Relativity,4.899135446685879,694,University
Réussir le Changement,4.394009216589862,434,Other
Equine Welfare and Management,4.892857142857143,56,University
International migrations: a global issue,4.316666666666666,60,Other
Introduction to Web Development,4.65335463258786,626,University
Writing and Editing: Word Choice and Word Order,4.742857142857143,105,University
Introduction to the Digital Advertising Landscape,4.488888888888889,45,University
Access Controls,4.466666666666667,45,Other
Engineering Project Management: Initiating and Planning,4.764331210191083,471,University
Kotlin for Java Developers,4.557632398753894,321,Other
Mathematics for Machine Learning: Multivariate Calculus,4.642241379310345,696,University
Introduction to Git and GitHub,4.791848617176128,687,Other
Industrial Biotechnology,4.587743732590529,359,University
The Addicted Brain,4.5479452054794525,438,University
Introducción a la programación en Python I: Aprendiendo a programar con Python,4.205154639175258,970,University
Modernizing Data Lakes and Data Warehouses with GCP,4.604444444444445,225,Other
Drug Discovery,4.580310880829016,386,University
Nutrition and Lifestyle in Pregnancy,4.763440860215054,465,University
Financial Acumen for Non-Financial Managers,4.252336448598131,107,University
Python and Statistics for Financial Analysis,4.270022883295194,437,University
Bugs 101: Insect-Human Interactions,4.962962962962963,297,University
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.672897196261682,107,Other
"Leading for Equity, Diversity and Inclusion in Higher Education",4.7105263157894735,38,University
Enterprise Architecture,4.545454545454546,33,University
Introduction to Spreadsheets and Models,3.6188811188811187,572,University
The Arts and Science of Relationships: Understanding Human Needs,4.431095406360424,283,University
Essentials in Clinical Simulations Across the Health Professions,4.8164556962025316,158,University
Budgeting and Scheduling Projects,4.7305524239007894,887,University
Machine Learning for Business Professionals,4.574370709382151,874,Other
Introduction to Accounting Data Analytics and Visualization,4.883720930232558,43,University
Spanish Vocabulary: Meeting People,4.518828451882845,478,University
Gestión Empresarial Exitosa para Pymes,4.8560090702947845,1764,University
Public Policy Challenges of the 21st Century,4.5661764705882355,272,University
International Law in Action: the Arbitration of International Disputes,4.852941176470588,102,University
Introduction to Ancient Egypt and Its Civilization,4.616487455197133,558,University
Financing and Investing in Infrastructure,4.842696629213483,356,University
Global Environmental Management,4.657243816254417,283,University
Operations Analytics,4.660240963855422,830,University
Entrepreneurship Strategy: From Ideation to Exit,1.0,6,Other
FinTech Law and Policy,4.825688073394495,109,University
The Social Context of Mental Health and Illness,4.614457831325301,83,University
What Is Contemporary Art?,4.7534246575342465,292,Other
The Art of Music Production,4.82830626450116,431,University
Biohacking Your Brain's Health,4.70042194092827,237,University
Bayesian Statistics: From Concept to Data Analysis,4.4484375,640,University
Reporting extra-financier et stratégie RSE,4.6415094339622645,53,Other
Leading Healthcare Quality and Safety,4.78494623655914,186,University
Understanding International Relations Theory,4.59433962264151,106,University
Introduction to Data Analytics,4.777777777777778,18,Other
Fundamentos de Excel para Negocios,4.8064,1250,University
Elastic Google Cloud Infrastructure: Scaling and Automation,4.581430745814307,657,Other
Cultural Competence - Aboriginal Sydney,4.75,44,University
Fundamentos de Finanzas Empresariales,4.898058252427185,1442,University
Greening the Economy: Sustainable Cities,4.59463986599665,597,University
Introduction to Engineering Mechanics,4.764383561643836,730,Institute
